Watchlist 'DJIM'

DJIM
Symbol,%Change,Last,PE
Q,0.00%,79.88,24.58
RAX,0.00%,31.99,27.34
SNPS,0.00%,61.11,38.92
TDC,0.00%,27.07,193.4
TER,0.00%,24.73,-46.66
TSS,0.00%,50.32,28.27
TRMB,0.00%,27.51,58.53
UTHR,0.00%,130.94,8.788
VRSN,0.00%,80.04,23.96
GRA,0.00%,67.11,47.6
WBC,0.00%,100.00,22.03
WSM,0.00%,52.94,15.95
AYI,0.00%,248.96,37.55
ALB,0.00%,82.46,42.73
CFX,0.00%,36.42,33.72
DKS,0.00%,58.02,20.36
FDS,0.00%,163.06,19.91
FSLR,0.00%,29.21,5.961
HLF,0.00%,50.86,17.85
HUBB,0.00%,110.54,21.51
IEX,0.00%,91.97,25.2
IDXX,0.00%,116.13,49.42
LEG,0.00%,48.86,17.83
LKQ,0.00%,32.25,21.08
MD,0.00%,63.88,17.55
ODFL,0.00%,86.21,24.02
PKI,0.00%,49.95,23.34
PBYI,0.00%,43.25,-5.3
PWR,0.00%,31.92,42
RPM,0.00%,52.31,19.23
SPR,0.00%,55.51,14.53
SAVE,0.00%,53.74,13.14
DATA,0.00%,46.47,-20.84
URBN,0.00%,37.51,19.44
PAY,0.00%,17.63,60.79
Z,0.00%,36.29,-29.27
DDD,0.00%,14.25,-2.496
AGCO,0.00%,52.71,27.31
ALLE,0.00%,67.32,28.89
AZPN,0.00%,52.07,30.99
AVY,0.00%,70.58,20.4
BIO,0.00%,170.93,51.33
BR,0.00%,65.16,25.75
BRCD,0.00%,12.38,22.51
CDNS,0.00%,26.40,32.2
CSL,0.00%,112.11,28.75
CPHD,0.00%,52.95,-103.8
CRL,0.00%,73.50,24.83
CHH,0.00%,50.10,20.79
CIE,0.00%,1.2200,-.5191
CSGP,0.00%,194.78,80.16
CR,0.00%,73.74,17.27
CY,0.00%,10.88,-5.132
DXCM,0.00%,71.40,-106.6
DO,0.00%,16.81,-3.142
FANG,0.00%,97.10,-17.78
DCI,0.00%,40.10,28.24
DST,0.00%,104.46,7.801
EXP,0.00%,92.34,23.74
FLIR,0.00%,35.08,27.84
FLO,0.00%,16.11,18.52
FTNT,0.00%,30.96,1032
G,0.00%,24.29,20.24
GNTX,0.00%,18.01,15.01
GGG,0.00%,80.86,23.04
GRPN,0.00%,3.94,-12.31
HAIN,0.00%,38.62,19.31
ICPT,0.00%,113.71,-7.303
ITT,0.00%,38.75,17.69
JKHY,0.00%,86.71,26.52
JOY,0.00%,28.00,-2
KATE,0.00%,16.39,16.23
KEYS,0.00%,35.89,11.84
KEX,0.00%,63.55,21.47
LSTR,0.00%,81.30,25.49
MSCC,0.00%,54.30,-175.2
MIDD,0.00%,130.21,29.33
MUSA,0.00%,67.77,11.31
EDU,0.00%,50.20,33.47
NEU,0.00%,410.17,19.36
NDSN,0.00%,106.70,25.11
NUS,0.00%,53.67,21.73
NVR,0.00%,1598.62,16.33
OII,0.00%,25.08,39.19
PCRX,0.00%,36.00,-36.73
PDCO,0.00%,46.49,23.13
POL,0.00%,32.70,20.44
PTC,0.00%,48.68,-173.9
RH,0.00%,34.51,30.81
RGLD,0.00%,68.11,-2270
SGEN,0.00%,70.69,-90.63
SYNA,0.00%,54.23,39.01
TDY,0.00%,120.53,22.08
TKR,0.00%,38.25,32.14
TUP,0.00%,58.90,14.73
UNFI,0.00%,48.11,19.24
VRNT,0.00%,37.20,-531.4
XYL,0.00%,53.29,29.61
YNDX,0.00%,18.47,.7142
ALGN,0.00%,94.84,40.53
AEO,0.00%,18.08,14.58
AMH,0.00%,21.14,-84.56
ATR,0.00%,73.65,23.91
ATHN,0.00%,102.86,218.9
TECH,0.00%,104.78,39.99
BITA,0.00%,22.40,-2.468
BRKR,0.00%,23.09,26.24
BC,0.00%,46.90,17.31
CRI,0.00%,90.28,19.13
CAVM,0.00%,55.36,-120.3
CBI,0.00%,31.48,11.53
CLC,0.00%,69.00,23.63
CGNX,0.00%,58.85,38.97
CVLT,0.00%,56.05,324.1
CMP,0.00%,76.20,20.93
CVG,0.00%,25.56,15.88
CPRT,0.00%,56.06,25.37
CLB,0.00%,106.05,71.66
CXW,0.00%,20.23,11.49
DLX,0.00%,67.21,14.15
DDS,0.00%,70.79,11.74
DLB,0.00%,47.00,22.93
DSW,0.00%,22.90,18.17
EGN,0.00%,56.52,-6.336
EEFT,0.00%,76.49,23.32
FOSL,0.00%,34.33,16.75
GWRE,0.00%,56.68,283.4
GPOR,0.00%,24.93,-1.74
HXL,0.00%,48.51,18.88
HSNI,0.00%,39.15,15.41
IPXL,0.00%,14.50,-5.686
IDTI,0.00%,25.11,22.42
IPGP,0.00%,95.98,20.96
JCOM,0.00%,74.47,25.24
KMT,0.00%,33.28,-11.02
LII,0.00%,152.20,27.08
LECO,0.00%,75.31,27.19
LPX,0.00%,19.67,28.51
MANH,0.00%,53.42,32.18
MMS,0.00%,55.26,22.56
MENT,0.00%,36.49,67.57
MR,0.00%,27.94,16.15
MSM,0.00%,84.28,22.36
MYGN,0.00%,16.80,13.23
NFG,0.00%,54.40,-8.889
NATI,0.00%,29.97,44.73
OSK,0.00%,66.18,24.24
PNRA,0.00%,209.47,34.97
PRXL,0.00%,57.26,18.41
PLT,0.00%,54.00,25.35
PLCM,0.00%,12.47,33.7
POOL,0.00%,100.48,29.04
PPS,0.00%,63.21,44.2
RYN,0.00%,26.90,18.94
RBC,0.00%,68.85,22.35
ROL,0.00%,32.13,43.42
SAIC,0.00%,79.49,27.99
SMG,0.00%,88.14,17.21
SEMG,0.00%,34.35,-114.5
SXT,0.00%,76.15,29.98
SFLY,0.00%,50.25,37.78
SON,0.00%,53.72,23.16
SFM,0.00%,21.56,24.22
SSNC,0.00%,32.62,76.75
STE,0.00%,65.94,32.32
TMH,0.00%,42.05,161.7
TFX,0.00%,151.06,26.09
THO,0.00%,86.51,17.73
TTC,0.00%,53.13,26.57
TYL,0.00%,155.53,90.42
ULTI,0.00%,209.81,238.4
W,0.00%,33.30,-17.08
